"Time","Arrived","Rejected"
1760894800000,0,0
1760894802000,0,0
1760894804000,0,0
1760894806000,0,0
1760894808000,0,0
1760894810000,0,0
1760894812000,0,0
1760894814000,0,0
1760894816000,0,0
1760894818000,0,0
1760894820000,0,0
1760894822000,0,0
1760894824000,0,0
1760894826000,0,0
1760894828000,0,0
1760894830000,0,0
1760894832000,0,0
1760894834000,0,0
1760894836000,0,0
1760894838000,0,0
1760894840000,0.3072325297189201,0
1760894842000,0.819288888888889,0
1760894844000,1.02422491387932,0
1760894846000,2.1506277080324407,0
1760894848000,2.867829758862096,0
1760894850000,3.3333333333333335,0
1760894852000,4.110654371736474,0
1760894854000,3.8884568381290974,0
1760894856000,3.5559506611845757,0
1760894858000,3.602305475504323,0
1760894860000,2.522219553206822,0
1760894862000,1.9212295869356388,0
1760894864000,2.1616428485649095,0
1760894866000,2.0415515792001924,0
1760894868000,2.4444444444444446,0
1760894870000,2.111111111111111,0
1760894872000,2.111111111111111,0
1760894874000,2.3333333333333335,0
1760894876000,2.1108765692700815,0
1760894878000,2.777777777777778,0
1760894880000,2.889209912212468,0
1760894882000,2.889209912212468,0
1760894884000,2.7780864540504497,0
1760894886000,2.666370403288524,0
1760894888000,2.3330741028774584,0
1760894890000,2.4630541871921183,0
1760894892000,2.677519545892685,0
1760894894000,2.7843221246519594,0
1760894896000,2.4627904486561727,0
1760894898000,2.2486347574686794,0
1760894900000,2.2222222222222223,0
1760894902000,2.666666666666667,0
1760894904000,3.555555555555556,0
1760894906000,4.888345739362292,0
1760894908000,5.332740806577046,0
1760894910000,6.111111111111112,0
1760894912000,5.555555555555556,0
1760894914000,4.888888888888889,0
1760894916000,4.777246972558604,0
1760894918000,4.221753138540162,0
1760894920000,4.610765601544071,0
1760894922000,4.180960548885077,0
1760894924000,4.395840034308995,0
1760894926000,4.717992708556723,0
1760894928000,4.6102712554948,0
1760894930000,4.4444444444444455,0
1760894932000,5.1111111111111125,0
1760894934000,5.333333333333334,0
1760894936000,4.777777777777779,0
1760894938000,5,0
1760894940000,4.444444444444445,0
1760894942000,3.8893210356706303,0
1760894944000,4.333333333333334,0
1760894946000,4.33285190534385,0
1760894948000,4.666666666666668,0
1760894950000,4.443950672147539,0
1760894952000,5.328811917161196,0
1760894954000,5.571030640668522,0
1760894956000,6.418018890772584,0
1760894958000,6.539905534697831,0
1760894960000,6.176577449436841,0
1760894962000,6.778530947883098,0
1760894964000,7.000000000000001,0
1760894966000,7.888888888888889,0
1760894968000,8.88888888888889,0
1760894970000,9.111111111111112,0
1760894972000,10.333333333333334,0
1760894974000,10.111111111111112,0
1760894976000,10.332185312743027,0
1760894978000,10.667851983553728,0
1760894980000,10.88888888888889,0
1760894982000,11.444444444444445,0
1760894984000,11.682743837084674,0
1760894986000,11.362418265623328,0
1760894988000,10.933647765033767,0
1760894990000,11.148033015328547,0
1760894992000,10.504877264444207,0.10686032800943294
1760894994000,10.666666666666668,0.10711111111111112
1760894996000,12.001333481497943,0.9641071230136682
1760894998000,10.777777777777779,0.9640000000000001
1760895000000,10.222222222222223,1.0711111111111111
1760895002000,10.44560506722969,1.0001111234581619
1760895004000,9.223247027447494,0.666740748972108
1760895006000,9.443395178313521,0.11109876680368849
1760895008000,9.667740860095565,0
1760895010000,10.222222222222223,0
1760895012000,12.220864348405733,0
1760895014000,11.88888888888889,0
1760895016000,11.735836978555424,0
1760895018000,10.774482611478557,0
1760895020000,10.028806145311,0
1760895022000,7.255655142979087,0
1760895024000,5.014938113529663,0
1760895026000,3.666666666666667,0
1760895028000,2.000222246916324,0
1760895030000,0.888987665296144,0
1760895032000,0.6666666666666667,0
1760895034000,0.666740748972108,0
1760895036000,0.44439506721475386,0
1760895038000,0.6665926008221308,0
1760895040000,0.5554938340184423,0
1760895042000,0.8887901344295077,0
1760895044000,0.888987665296144,0
1760895046000,0.6666666666666667,0
1760895048000,0.844187168355041,0
1760895050000,0.844187168355041,0
1760895052000,0.8442889880593414,0
1760895054000,1.2061271257990591,0
1760895056000,1.2222222222222223,0
1760895058000,1.222086434840573,0
1760895060000,1.44428396844795,0
1760895062000,1.3333333333333335,0
1760895064000,1.3333333333333335,0
1760895066000,1.4444444444444446,0
1760895068000,1.3333333333333335,0
1760895070000,1.1111111111111112,0
1760895072000,0.7777777777777778,0
1760895074000,1.1112345816201799,0
1760895076000,0.7777777777777778,0
1760895078000,0.32150894866573787,0
1760895080000,0.42863266180882986,0
1760895082000,1.7145306472353194,0
1760895084000,3.429061294470638,0
1760895086000,5.8936990998714105,0
1760895088000,9.111111111111112,0
1760895090000,11.186177871303578,0
1760895092000,11.555555555555557,0
1760895094000,11.777777777777779,0
1760895096000,10.88888888888889,0
1760895098000,10.667851983553728,0
1760895100000,10.555555555555557,0
1760895102000,10.555555555555557,0
1760895104000,9.552371431744975,0
1760895106000,10.460716670376142,0
